,question1,question2,is_duplicate
159545,How do I get more subscribes on my Youtube channel?,How can we get more YouTube subscribers?,1
323289,Why is Amma so popular in Tamil Nadu?,Why is Amma such a huge phenomenon in Tamil Nadu?,1
185580,Are we heading toward World War 3?,How soon is world war III?,1
367087,What are your alma maters?,What is Alma Mater society?,0
401642,What is the reason behind using German words in the Attack on Titan soundtracks?,How do you think Attack on Titan (manga) will end based on what has already happened?,0
322382,How long is the iPhone 6 and 6S?,How long does it take for an iPhone 6 Plus to charge?,0
282517,What are the major differences between Chinese culture and Western cultures?,What is biggest difference between Chinese and Western cultures?,1
346884,"Which phone is the best, Samsung J7 or iPhone 5s?",Which phones are better: iPhone or Samsung Galaxy?,0
234223,How can I lose 20 kgs in 2 years?,How can one lose 20 kg in one year?,0
173448,Why don't girls message first?,Do girls ever text first?,1
331901,Does it matter what time of day you take an antidepressant?,Does the time at which you take an SSRI during the day seem to increase/decrease certain side effects?,1
69510,Which company provides the best professional SEO service in India?,Which is the best SEO services company in India?,1
205458,Important chaptes for chemistry 2017 ICSE board exam?,Is Sicilian culture similar to Greek culture?,0
363334,What qualities does an investor look for in a startup or the CEO before agreeing to potentially invest?,What qualities do investors look for in a startup CEO?,1
110824,What is it like to study health economics?,What motivates people to study Health Economics?,0
171673,When I dream about a person does it mean they are thinking about me?,"What does it mean, when I dream about a certain person constantly?",0
212698,Is there an algorithm that can successfully pick lottery numbers?,How do I pick numbers in the Pick 3 Texas Lottery?,0
222856,What is the difference between IES and ESE?,What is the difference between IES and IDSE?,0
384625,Why do some men want to have anal sex with women?,Why are some men obsessed with anal sex?,1
150165,"If the radius of a circle is increased by 50%,the circumference increased by what percent?",A circle is circumscribed around a square.The area of one of the four shaded portions is equal to 4/7. What is the radius of the circle?,0
362454,Why is India bothered about CPEC?,Why is India trying to sabotage CPEC?,1
137325,What is actually The American Dream?,Is the American Dream dead?,0
173483,"The Philippines is turning side to China, is there an impact on the part of US regarding the freedom of navigation in the South China Sea?","Oxidation potential of copper is positive, why?",0
41475,What is the integration of limit 0 to infinity sinx/sinx dx?,What is the integration of sinx/x with limit 0 to infinite?,0
264858,What is the best digital marketing course online for a beginner?,What are the best online courses for digital marketing?,1
29864,Where can I study at Stanford?,What are good study spaces at Stanford?,1
183352,What do social process theories of crime include?,What are the social process theories of crime used for?,0
182672,What are exam based scholarships for pilot license course?,Where can I found high quality undercounter freezers in Belmore?,0
283320,What are some things every 18 year old should know?,What should an 18 year old know before going into the outside world?,1
248238,How long will it be before 1 person is worth 1 trillion dollars?,Will Elon Musk be the first individual to be worth $1 trillion dollars?,0
317209,What advice can you give to someone who just turned 18 years old?,I am going to turn 18 soon. What specific advice can you give to an 18 year old boy?,0
333199,What shall I do when everything seems to be going wrong in my life?,What should people do when everything appears to be going wrong in their lives?,1
359121,How much cocaine can $20 buy?,How much profit do you make off 8 ball of cocaine?,0
59279,How do I hack an online game?,How can I hack online games?,1
92438,What are the Alternate set of tyres for EuroGrip rubber in 200 NS? MRF? Michelin? CEAT?,I have a Pulsar 200 NS. What would be a good re-placement for 130/70*17 rear tires?,0
380873,Will I get logged out of Instagram if I use another device?,If I change the password from a different device will it log out of the orginal device on instagram?,0
155000,Is it possible to find an ideal job?,How do I find the ideal job ?,0
338370,Is www.socialtrade.biz a scam?,Is Mars One a scam?,0
149199,Is there is any scope for a network engineer in India?,Network engineer career india?,1
395147,How can we do website analysis in SEO & best tutorials?,How can we do analysis of SEO? Are there any tools which help us to know we are doing the right changes in SEO?,0
73993,What are the two purposes for which an oral presentation is usually made?,How is this kind of mock-up or presentation made?,0
350175,Why do I feel tired in the morning even after getting proper sleep?,Why do I feel tired in the morning?,1
208500,Why do some people smile when the other person is angry?,Why do some people smile when they are angry?,0
2619,How can I crack JEE?,How can I crack JEE exam?,1
18870,Can you view a private Facebook profile? How can you do this?,Is there a way to view private Facebook profiles without being a friend?,1
86288,How do I remove a voice from an MP3 file?,How do I isolate the music from an mp3 file?,0
356282,How do I get my pictures and contacts back after my phone was factory reset?,How do I recover all my contacts after doing a factory reset on my Asus Zenfone 5?,0
112748,How do I tell if a girl I sit next to likes me?,How do I know if this girl likes me?,1
290809,How do I make people like me?,What can you do to make someone like you?,1
217456,What are some things new employees should know going into their first day at NL Industries?,What are some things new employees should know going into their first day at MSC Industrial?,0
402007,"In MS Excel, how do I filter multiple columns simultaneously, with the criteria range for each column being different?","Is there a way to insert multiple images in excel, each image in one row, column B has filename?",0
244258,Is it beneficial to drink green tea at night?,Can I drink green tea at night?,0
372925,Doctors Condemn Inhumane Treatment At Australia’s Juvenile Prison?,Where do india stands if we talk about quantum computer and what is future scope for someone if he/she is from computer science background?,0
103101,What is a grandiose narcissist?,What time is it? No Serious answeres,0
220453,What is the best advice you could give yourself now?,What is the best advice you can give me?,0
391838,Why Can't India build world class weapons?,Why does the DRDO fail to develop a world class weapon?,1
19159,What does Jake Williams think about Jake Williams?,Who is Jake Williams?,0
209192,My husband likes to watch movies a lot. I don't. What should I do?,"Which party is more associated with the overthrowing of dictators, Republicans or Democrats?",0
401548,How are Harry Potter and Voldemort related?,Are Harry Potter and Voldemort related?,1
253114,Is violence a part of Human nature; If yes what purpose it serves and if not why it exists?,Is violence innate in the human race? What purpose did or does it serve? Why does it persist?,1
113829,Should I start playing video games?,I have never played video games. Where should I start?,0
230921,"Why are there 24 hours in a day, and how does the lenght of day on Earth compare to the one on Mercury?","Why are there 24 hours in a day, and how does the lenght of day on Earth compare to the one on Venus?",0
320784,How long does it take to grow hair after a person has shaved his/her head? What's the regular growth rate?,Why does hair grow back thicker when you shave?,0
184283,Why is alcohol in India sold in multiples of 180ml?,What can be the brilliant idea to deal with Alcohol/liquor sale in India by Govt. of India?,0
6371,What is the best password manager?,What's a good password manager?,1
255185,How do you embed a video into a Google Doc?,How can I add additional pages within a Google Doc?,0
358351,How can I settle in Canada from Portugal?,What is the easiest way to settle in Canada?,0
187925,How do nude beaches in Punta Cana compare to other nude beaches in Cuba?,How do nude beaches in Punta Cana compare to other nude beaches in Dominica?,0
254413,How can I import contacts from sim to my Redmi 2 prime mobile?,How can I delete contacts from sim to my Redmi 2 prime mobile?,0
342405,What individuals and events in history are a source of pride for Japan?,What individuals and events in history are a source of pride for Indonesia?,0
372837,What is the noun form of “complex”?,"What is the noun form of the word ""various""?",0
255569,Is Pokémon GO dangerously addictive?,Why are Timberland boots popular with teenage boys?,0
332927,What part of the body causes you to breathe faster/deeper due to CO2?,"Hypothetically, say air has more than 0.04% carbon dioxide. What is the threshold of the increase in CO2 so that the human body can still breathe?",0
325396,How can you determine the chemical formula of creatine phosphate?,How do you determine the chemical formula of haemoglobin?,0
240947,How do foreigners view america?,How do foreigners view the UK?,0
143726,What is the best thing to do when someone chokes on water?,Can you choke someone to death using a dental floss?,0
173028,What's the best plan to lose weight?,Where do I find a simple to understand solution on how to lose weight?,1
373267,Is India really a democratic country?,Why isn't India being a democratic country?,0
125489,What would be a nice extension for a beverage of any brand?,What should a senior backend developer know?,0
125128,How do I root my Samsung Galaxy S5?,How can I root my Samsung galaxy s5 at&t?,0
98039,Around what time did humans start naming each other?,When did humans start having names?,1
23518,What are the best pictures that showcase happiness?,What are the happiest pictures you have seen?,0
60519,What are some inspirational movies for programmers/software developers?,What are some good Hollywood movies for teens?,0
347153,How do I write a compiler?,How do I write a simple compiler?,1
119220,How does the Virginia class of US submarines compare to the British Astute class of subs?,How does the US Navy submarine force compare to other nations?,0
83840,How does Trump's win affects Indian students planning for graduate studies in United States?,"What will be the impact of Donald Trump’s win on Indian students, who are planning to study in the United States?",1
281535,What is “Dank O.G Kush”?,How would one use the One Ring against Sauron in a one on one confrontation?,0
400396,"Can I set a GIF image as a profile pic on WhatsApp, Facebook and Instagram?",How can we add GIF Image on Facebook?,0
190633,Which are the best books for SSC CGL Tier 1 and 2 preparation?,What is the best strategy to prepare for tier 2 ssc cgl exams?,0
225380,Why did Japan attacked on pearl harbor?,Why did Japan attack Pearl Harbor?,1
98166,How do I overcome my fear of ghosts?,How do you overcome fear?,0
77919,How many atoms were created in the big bang?,Were all the universes in Multiverse theory created at the Big Bang?,0
114871,What is the difference between stainless steel grade SS304 and SUS304?,What is the price difference between stainless steel and carbon steel?,0
109473,How do i hide images and video in Samsung J7?,Is samsung j7 water proof?,0
62405,Why does people hate Taylor Swift?,Why do people hate Taylor Swift?,1
338954,Which is the best beard oil in india?,What are the top 5 beard oils in India?,1
189972,Is a 'magnetic therapy bed mattress' safe?,What s pet therapy?,0
279795,Why do people ask questions on Quora that are easily to find answers too on Google?,Why are so many questions posted to Quora that are so easily answered by using Google?,1
257188,Which is the best phone to buy under 15000?,Which is the best smartphone to buy for 15000 INR?,1
275453,I have had 3 gap years after engineering. What are some ways to restart my career?,I'm having 5 years gap completed mechanical engineering in 2010 how to start my career?,0
79175,How do I connect my iPhone to a Samsung Smart TV?,How can I connect a CPU with smart TV?,0
95571,Is the demonetisation policy of Modi a good move to curb black money and corruption?,Will demonetisation really curb black money?,1
61123,What is an diploma?,What is a diploma?,1
123136,What is the inverse function of f(x) = 2x + ln x?,How do you determine the Taylor series for f(X) = ln X at X= 1?,0
236626,What can be the best daily routine for an IT engineer?,What should be the best daily routine in IIT?,0
36456,How do I retrieve deleted snapchat messages on Android?,How do I get deleted messages back on snapchat?,1
255036,Psychology of Everyday Life: What are some of the best examples of absence of mind?,What are some of the great examples of absence of mind?,1
27117,Which state is most popular of india ?,Who is the most popular Indian state Chief Minister?,0
98213,How get paid from Google AdSense?,How does Google AdSense work?,0
82145,What are some of the weirdest questions you have seen on Quora?,Which is the weirdest question you have ever come across on Quora?,1
330817,What are your long-term and short-term goals?,What short-term and long-term goals do you have?,1
97604,What is key of life?,What is the key to your happiness?,1
198365,What kind of energy is involved in hearing and vision?,"When I dim my dimmer with any lightbulb, even LED, I can hear a kind of humming/electrical noise. What causes this and is it normal for me to hear?",0
36321,Which coaching is better SKD or aakash in lucknow?,"Which coaching class is better in lucknow, Aakash or SKD?",1
227939,How can I prove myself at university?,How can I prove myself to my family?,0
120547,What is the salary of an assistant professor with a PhD in India?,What is the typical monthly salary range of an assistant professor (post Phd.) in private engineering colleges of Kerala?,0
217925,What is the QuickBooks payroll tech support number in Washington?,Which is the best QuickBooks Tech Support Number?,1
58857,How can you measure the atmospheric composition?,What is atmosphere?,0
142903,Should people over 95 not be allowed to vote?,Should people over 100 not be allowed to vote?,1
335681,Why does a feather and a weighted ball fall at the same rate when air is taken away?,Shouldn't a bowling ball fall faster than a feather without air resistance?,1
146129,What are the problems in the agricultural sector of India?,What are the businesses in India in the agriculture sector?,0
225646,How winning money from YouTube?,How can I make money through YouTube?,1
372056,What is restorative justice? What are disadvantages?,Why is social justice important?,0
22190,What are the best books about art?,What books would you recommend to somebody who has absolutely no idea about Fine Arts but is interested in learning about it?,0
29282,Which is the best instant messenger like WhatsApp and Hike?,"Between WhatsApp and Hike, which messenger is better in terms of user-experience?",1
89324,What are the earnings of a liquor shop owner in india?,Why there are iron bars at liquor shops in India?,0
283680,How can I enable OTG support in the Honor 4X?,Does Lumia 730 support OTG?,0
77594,What should I do if every afternoon I feel sleepy at the office?,I feel very sleepy in the afternoon. How can I avoid this?,1
364656,What are some cultural faux pas among actors?,What are some cultural faux pas among farmers?,0
76043,Why is the word wrap feature not a default in Notepad?,How can I run my code written in Notepad++?,0
374396,"How come when Ron says ""eat slugs"" in Chamber of Secrets, it works as an actual curse?",Harry Potter Books: How can a wizard become an Animagus?,0
47006,What is the best way to disconnect my Spotify account from Facebook?,How can I switch my Spotify account from my Facebook to my email?,0
19458,Can you recommend me some romantic songs for my wedding?,Why did Bernie Sanders take a bribe from Hillary Clinton to step aside quietly? That was a nice lakeside home he bought with the money he got.,0
22228,I can't sleep. What do I do?,I can't sleep what do I do?,1
289713,What differences can be found between cyberterrorism and cyberwarfare?,Is cyberterrorism same as cyberwarfare?,1
244992,What are the career prospects of a student with an MBET from University of Waterloo?,How are the job prospects for CEMS student from RSM?,0
91364,"Which font is used on the Instagram logo for the mobile app, and how can I download and use that font?",What font is used in the NDR Dachmarke logo?,0
220645,What are some mind-blowing facts about Indian Folk-people?,What are some mind-blowing facts about Indians?,0
68759,Does the new 2000 note has a chip inside for its tracking by GPS?,Is the new 2000 Rupees note GPS enabled?,1
140634,What is the best 2016 film released so far?,What is the best film of 2016?,1
71357,What should I do if I have a very important question to ask but someone doesn't return my email?,What should I do if someone doesn't reply to my email?,0
315956,Does Chrissy Teigen have any imperfections?,Why are the rules followed by UGC SET imperfect?,0
4546,Do ghost actually exists?,Does ghost really exist?,1
24672,How can I monitor my girlfriend WhatsApp?,How do I hack WhatsApp?,1
387872,What do you do after the first date?,What did you do on your first date?,0
261586,What are the things to never say in an interview?,What words should you never say when being interviewed for a job?,1
